Bug No,Summary,Platform,Status,Priority,Due Date,Resolved,Resolution,Created,Labels,Description
206,Regional Strategies,IOS-app,To Do,3,1/8/2021,,,15-04-2022 15:39,backend,This is the description of my issues. Instructions to use this csv will come here.
207,Regional Pricing Plans,IOS-app,To Do,2,1/8/2021,,,15-04-2022 15:39,UI,This is the description of my issues. Instructions to use this csv will come here.
208,Regional Packages,IOS-app,To Do,1,1/8/2021,,,15-04-2022 15:39,backend,This is the description of my issues. Instructions to use this csv will come here.
209,Investment Review 💵,IOS-app,To Do,1,1/8/2021,,,15-04-2022 15:39,backend,This is the description of my issues. Instructions to use this csv will come here.
210,Datasheets,Android-app,In Progress,3,1/8/2021,,,7/6/2021 15:46,backend,This is the description of my issues. Instructions to use this csv will come here.
211,Website Design and Development,Android-app,To Do,3,1/8/2021,,,7/6/2021 15:46,UI,This is the description of my issues. Instructions to use this csv will come here.
212,Web & Mobile Site Design,Android-app,In Progress,3,1/8/2021,,,7/6/2021 15:46,backend,This is the description of my issues. Instructions to use this csv will come here.
213,Web & Mobile Site Development,Android-app,To Do,3,1/8/2021,,,7/6/2021 15:46,UI,This is the description of my issues. Instructions to use this csv will come here.
214,Sales Materials Plan,IOS-app,To Do,1,1/8/2021,,,15-04-2022 15:39,backend,This is the description of my issues. Instructions to use this csv will come here.
215,Presentation Framework,IOS-app,,,1/8/2021,,,,,
216,Demo Plan,IOS-app,To Do,3,1/8/2021,,,15-04-2022 15:39,backend,This is the description of my issues. Instructions to use this csv will come here.
217,Demo Script,IOS-app,To Do,2,1/8/2021,,,15-04-2022 15:39,UI,This is the description of my issues. Instructions to use this csv will come here.
218,Demo Website Content,IOS-app,To Do,1,1/8/2021,,,15-04-2022 15:39,backend,This is the description of my issues. Instructions to use this csv will come here.
219,Demo Videos,IOS-app,To Do,3,1/8/2021,,,15-04-2022 15:39,backend,This is the description of my issues. Instructions to use this csv will come here.
220,Click Button “New Custom Field”,IOS-app,To Do,2,1/8/2021,,,15-04-2022 15:39,UI,This is the description of my issues. Instructions to use this csv will come here.
221,Go to Manage Custom Fields,IOS-app,To Do,1,1/8/2021,,,15-04-2022 15:39,backend,This is the description of my issues. Instructions to use this csv will come here.
222,Sign Up Form Validations,IOS-app,To Do,2,1/8/2021,,,14-04-2022 15:39,backend,This is the description of my issues. Instructions to use this csv will come here.
223,Checklist Item Order,Android-app,Done,1,1/8/2021,1/8/2021,Done,15-04-2022 15:39,backend,This is the description of my issues. Instructions to use this csv will come here.
224,Task Details User Scenarios,IOS-app,To Do,3,1/8/2021,,,15-04-2022 15:39,backend,This is the description of my issues. Instructions to use this csv will come here.
225,Contact Web Page Error,IOS-app,To Do,1,1/8/2021,,,15-04-2022 15:39,backend,This is the description of my issues. Instructions to use this csv will come here.
226,Sign Up Form Validations,IOS-app,To Do,3,1/8/2021,,,15-04-2022 15:39,backend,This is the description of my issues. Instructions to use this csv will come here.
227,Event Date,Android-app,To Do,2,1/8/2021,,,,backend,This is the description of my issues. Instructions to use this csv will come here.
228,Localisation,Android-app,To Do,2,1/8/2021,,,,UI,This is the description of my issues. Instructions to use this csv will come here.
229,Ojective of event,IOS-app,Done,2,1/8/2021,1/8/2021,Done,,UI,This is the description of my issues. Instructions to use this csv will come here.
230,Development Staff Involved,IOS-app,In Progress,2,1/8/2021,,,,backend,This is the description of my issues. Instructions to use this csv will come here.
231,Response Card,IOS-app,In Progress,2,1/8/2021,,,7/6/2021 15:46,backend,This is the description of my issues. Instructions to use this csv will come here.
232,Saving throws an error,Android-app,In Progress,3,2/8/2021,,,7/6/2021 15:46,backend,This is the description of my issues. Instructions to use this csv will come here.
233,Can't export PDF,Android-app,To Do,3,2/8/2021,,,7/6/2021 15:46,UI,This is the description of my issues. Instructions to use this csv will come here.
234,User cannot print,Android-app,In Progress,3,2/8/2021,,,7/6/2021 15:46,backend,This is the description of my issues. Instructions to use this csv will come here.
235,Schema update,IOS-app,To Do,3,2/8/2021,,,15-04-2022 15:39,backend,This is the description of my issues. Instructions to use this csv will come here.
236,Search A relation in the Connector.,IOS-app,To Do,1,2/8/2021,,,15-04-2022 15:39,backend,This is the description of my issues. Instructions to use this csv will come here.
237,Select relation.,IOS-app,To Do,3,2/8/2021,,,15-04-2022 15:39,backend,This is the description of my issues. Instructions to use this csv will come here.
238,"The Connector tab contains search fields,",Android-app,Done,1,2/8/2021,2/8/2021,Done,15-04-2022 15:39,backend,This is the description of my issues. Instructions to use this csv will come here.
239,missing a button here to clear all fields,IOS-app,To Do,3,2/8/2021,,,15-04-2022 15:39,backend,This is the description of my issues. Instructions to use this csv will come here.
240,Credit card approval notifications delayed by longer than expected,IOS-app,To Do,3,2/8/2021,,,15-04-2022 15:39,backend,This is the description of my issues. Instructions to use this csv will come here.
241,Setup SSL certificate,IOS-app,To Do,2,2/8/2021,,,15-04-2022 15:39,UI,This is the description of my issues. Instructions to use this csv will come here.
242,Add Google ad Sense,IOS-app,To Do,1,2/8/2021,,,15-04-2022 15:39,backend,This is the description of my issues. Instructions to use this csv will come here.
243,Main page Still,IOS-app,To Do,2,2/8/2021,,,14-04-2022 15:39,backend,This is the description of my issues. Instructions to use this csv will come here.
244,Css/Js cached ,Android-app,Done,1,2/8/2021,2/8/2021,Done,15-04-2022 15:39,backend,This is the description of my issues. Instructions to use this csv will come here.
245,Allow login with OpenID,IOS-app,To Do,1,2/8/2021,,,15-04-2022 15:39,backend,This is the description of my issues. Instructions to use this csv will come here.
246,Website loading slowly on 10min,Android-app,To Do,1,2/8/2021,,,########,backend,This is the description of my issues. Instructions to use this csv will come here.
247,Login icons brokenon Homepage,Android-app,To Do,2,2/8/2021,,,########,backend,This is the description of my issues. Instructions to use this csv will come here.
248,Serving old format images,Android-app,Done,3,2/8/2021,2/8/2021,Done,########,backend,This is the description of my issues. Instructions to use this csv will come here.
249,Website Crashing at credit card collection,Android-app,To Do,1,2/8/2021,,,########,backend,This is the description of my issues. Instructions to use this csv will come here.
250,Code Module Issue,Android-app,To Do,2,2/8/2021,,,########,backend,This is the description of my issues. Instructions to use this csv will come here.
251,User Access Issue,Android-app,In Progress,3,3/8/2021,,,7/6/2021 15:46,backend,This is the description of my issues. Instructions to use this csv will come here.
252,Server Memory Issue,Android-app,To Do,3,3/8/2021,,,7/6/2021 15:46,UI,This is the description of my issues. Instructions to use this csv will come here.
253,Cost Management,Android-app,To Do,1,3/8/2021,,,########,backend,This is the description of my issues. Instructions to use this csv will come here.
254,"Schedule,outcomes",Android-app,To Do,2,3/8/2021,,,########,backend,This is the description of my issues. Instructions to use this csv will come here.
255,Action Item,IOS-app,To Do,2,3/8/2021,,,7/6/2021 15:46,backend,This is the description of my issues. Instructions to use this csv will come here.
256,Tracking,Android-app,In Progress,2,3/8/2021,,,7/6/2021 15:46,backend,This is the description of my issues. Instructions to use this csv will come here.
257,Issue Tracking,Android-app,To Do,2,3/8/2021,,,7/6/2021 15:46,UI,This is the description of my issues. Instructions to use this csv will come here.
258,Admin cannot edit product details,Android-app,In Progress,2,3/8/2021,,,7/6/2021 15:46,backend,This is the description of my issues. Instructions to use this csv will come here.
259,User cannot start a conversation,Android-app,Done,1,3/8/2021,3/8/2021,Done,15-04-2022 15:39,backend,This is the description of my issues. Instructions to use this csv will come here.
260,Unable to add new item to cart,IOS-app,To Do,3,3/8/2021,,,15-04-2022 15:39,backend,This is the description of my issues. Instructions to use this csv will come here.
261,Definition of performance metrics,IOS-app,To Do,3,3/8/2021,,,15-04-2022 15:39,backend,This is the description of my issues. Instructions to use this csv will come here.
262,Completing the post the product,IOS-app,To Do,1,3/8/2021,,,15-04-2022 15:39,backend,This is the description of my issues. Instructions to use this csv will come here.
263,Gif design for page loading,IOS-app,In Progress,1,3/8/2021,,,########,UI,
264,Preparing Q1 performance metrics,Android-app,To Do,1,3/8/2021,3/8/2021,,########,backend,This is the description of my issues. Instructions to use this csv will come here.
265,Presentation regarding the improvements,Android-app,Done,1,3/8/2021,3/8/2021,Done,15-04-2022 15:39,backend,This is the description of my issues. Instructions to use this csv will come here.
266,Bug fixes on the dashboard,IOS-app,To Do,3,3/8/2021,,,15-04-2022 15:39,backend,This is the description of my issues. Instructions to use this csv will come here.
267,SWOT Analysis,IOS-app,To Do,1,3/8/2021,,,15-04-2022 15:39,backend,This is the description of my issues. Instructions to use this csv will come here.
268,Performance metrics,Android-app,In Progress,3,3/8/2021,,,7/6/2021 15:46,backend,This is the description of my issues. Instructions to use this csv will come here.
269,Banner is covering,IOS-app,To Do,3,3/8/2021,,,15-04-2022 15:39,backend,This is the description of my issues. Instructions to use this csv will come here.
270,Pop-ups cannot be color,IOS-app,To Do,2,3/8/2021,,,15-04-2022 15:39,UI,This is the description of my issues. Instructions to use this csv will come here.
271,Homepage is not working,IOS-app,To Do,1,3/8/2021,,,15-04-2022 15:39,backend,This is the description of my issues. Instructions to use this csv will come here.
272,Payment Error,IOS-app,In Progress,1,3/8/2021,,,16/05/21 16:57,UI,This is the description of my issues. Instructions to use this csv will come here.
273,Report header fix,IOS-app,In Progress,1,3/8/2021,,,,UI,This is the description of my issues. Instructions to use this csv will come here.
274,mail title revision,Android-app,To Do,2,3/8/2021,,,,backend,This is the description of my issues. Instructions to use this csv will come here.
275,Vendor response time needs improvement,Android-app,To Do,2,3/8/2021,,,,UI,This is the description of my issues. Instructions to use this csv will come here.
276,selected solution inputs are not compatible,IOS-app,To Do,3,3/8/2021,,,15-04-2022 15:39,backend,This is the description of my issues. Instructions to use this csv will come here.
277,The auto-save feature is not working as expected,Android-app,To Do,2,3/8/2021,,,,backend,This is the description of my issues. Instructions to use this csv will come here.
278,In-product link does not work,Android-app,To Do,2,3/8/2021,,,,UI,This is the description of my issues. Instructions to use this csv will come here.
279,User Acceptance Test Plan,Android-app,To Do,3,4/8/2021,,,7/6/2021 15:46,UI,This is the description of my issues. Instructions to use this csv will come here.
280,User Acceptance Test Report,Android-app,To Do,1,4/8/2021,,,########,backend,This is the description of my issues. Instructions to use this csv will come here.
281,User Interface Checklist,IOS-app,To Do,2,4/8/2021,,,7/6/2021 15:46,backend,This is the description of my issues. Instructions to use this csv will come here.
282,Web Usability Test Report,Android-app,In Progress,2,4/8/2021,,,7/6/2021 15:46,backend,This is the description of my issues. Instructions to use this csv will come here.
283,Test Script,IOS-app,To Do,1,4/8/2021,,,15-04-2022 15:39,backend,This is the description of my issues. Instructions to use this csv will come here.
284,Test Script Allocation Form,IOS-app,To Do,2,4/8/2021,,,14-04-2022 15:39,backend,This is the description of my issues. Instructions to use this csv will come here.
285,Training Course Evaluation Form,Android-app,Done,1,4/8/2021,4/8/2021,Done,15-04-2022 15:39,backend,This is the description of my issues. Instructions to use this csv will come here.
286,Training Requirements Form,Android-app,To Do,3,4/8/2021,,,7/6/2021 15:46,UI,This is the description of my issues. Instructions to use this csv will come here.
287,Unit Test Plan,Android-app,In Progress,3,4/8/2021,,,7/6/2021 15:46,backend,This is the description of my issues. Instructions to use this csv will come here.
288,Status Report,IOS-app,To Do,3,4/8/2021,,,15-04-2022 15:39,backend,This is the description of my issues. Instructions to use this csv will come here.
289,Test Plan Template,IOS-app,To Do,2,4/8/2021,,,15-04-2022 15:39,UI,This is the description of my issues. Instructions to use this csv will come here.
290,Test Plan Review Checklist,Android-app,In Progress,3,4/8/2021,,,7/6/2021 15:46,backend,This is the description of my issues. Instructions to use this csv will come here.
291,Test Plan Task Preparation,Android-app,Done,1,4/8/2021,2/8/2021,Done,15-04-2022 15:39,backend,This is the description of my issues. Instructions to use this csv will come here.
292,Test Problem Record,IOS-app,To Do,1,4/8/2021,,,15-04-2022 15:39,backend,This is the description of my issues. Instructions to use this csv will come here.
293,Business Approval Checklist Form,Android-app,In Progress,3,4/8/2021,,,7/6/2021 15:46,backend,This is the description of my issues. Instructions to use this csv will come here.
294,Business Approval Form,Android-app,To Do,1,4/8/2021,,,########,backend,This is the description of my issues. Instructions to use this csv will come here.
295,Change Control Form,Android-app,To Do,2,4/8/2021,,,########,backend,This is the description of my issues. Instructions to use this csv will come here.
296,Change Control Log,IOS-app,To Do,1,4/8/2021,,,15-04-2022 15:39,backend,This is the description of my issues. Instructions to use this csv will come here.
297,Change Request Form,Android-app,In Progress,3,4/8/2021,,,7/6/2021 15:46,backend,This is the description of my issues. Instructions to use this csv will come here.
298,Contract Review Form,IOS-app,To Do,2,4/8/2021,,,7/6/2021 15:46,backend,This is the description of my issues. Instructions to use this csv will come here.
299,Acceptance Test Plan,Android-app,In Progress,2,4/8/2021,,,7/6/2021 15:46,backend,This is the description of my issues. Instructions to use this csv will come here.
300,Action Item Log,Android-app,In Progress,3,4/8/2021,,,7/6/2021 15:46,backend,This is the description of my issues. Instructions to use this csv will come here.
301,The risk at the different page ,IOS-app,In Progress,1,1/9/2021,,,,backend,This is the description of my issues. Instructions to use this csv will come here.
302,The risk at duplicate screen ,IOS-app,To Do,1,1/9/2021,,,,backend,This is the description of my issues. Instructions to use this csv will come here.
303,Redirection of add,Android-app,To Do,1,1/9/2021,,,,backend,This is the description of my issues. Instructions to use this csv will come here.
304,The Risk at the duplicate page ,IOS-app,To Do,1,1/9/2021,,,,UI,This is the description of my issues. Instructions to use this csv will come here.
305,Added new icon,IOS-app,In Progress,1,1/9/2021,,,,backend,This is the description of my issues. Instructions to use this csv will come here.
306,Redirection of view screen ,Android-app,In Progress,2,2/9/2021,,,,backend,This is the description of my issues. Instructions to use this csv will come here.
307,Redirection of edit screen ,IOS-app,In Progress,2,2/9/2021,,,,UI,This is the description of my issues. Instructions to use this csv will come here.
308,Redirction of link ,IOS-app,In Progress,2,2/9/2021,,,,backend,This is the description of my issues. Instructions to use this csv will come here.
309,Redirction of link one,Android-app,Done,2,2/9/2021,3/9/2021,Done,,backend,This is the description of my issues. Instructions to use this csv will come here.
310,Redirection of link two,IOS-app,Done,2,2/9/2021,4/9/2021,Done,,UI,This is the description of my issues. Instructions to use this csv will come here.
311,Logo is missing,Android-app,Done,2,3/9/2021,5/9/2021,Done,,backend,This is the description of my issues. Instructions to use this csv will come here.
312,Module names are not aligned properly ,IOS-app,Done,2,3/9/2021,6/9/2021,Done,,UI,This is the description of my issues. Instructions to use this csv will come here.
313,On click link the page is redirecting to some other page ,Android-app,Done,1,3/9/2021,7/9/2021,Done,,UI,This is the description of my issues. Instructions to use this csv will come here.
314,Header name is not aligned properly,Android-app,In Progress,2,3/9/2021,,,,UI,This is the description of my issues. Instructions to use this csv will come here.
315,Tool tips is to be provided ,IOS-app,To Do,2,4/9/2021,,,,backend,This is the description of my issues. Instructions to use this csv will come here.
316,On hover the tool tip is not displayed,IOS-app,In Progress,1,4/9/2021,,,,UI,This is the description of my issues. Instructions to use this csv will come here.
317,On click the popup is not shown ,Android-app,Done,1,4/9/2021,7/9/2021,Done,,backend,This is the description of my issues. Instructions to use this csv will come here.
318,Click on ok the screen is not loading,IOS-app,To Do,2,4/9/2021,,,,backend,This is the description of my issues. Instructions to use this csv will come here.
319,On click cancel the screen loads ,Android-app,To Do,1,5/9/2021,,,,UI,This is the description of my issues. Instructions to use this csv will come here.
320,The menu is not aligned ,Android-app,Done,3,5/9/2021,8/9/2021,Done,,UI,This is the description of my issues. Instructions to use this csv will come here.
321,The submenu should be shown on click down arrow ,Android-app,To Do,1,5/9/2021,,,,backend,This is the description of my issues. Instructions to use this csv will come here.
322,Hide or unhide the menu,IOS-app,In Progress,2,5/9/2021,,,,backend,This is the description of my issues. Instructions to use this csv will come here.
323,Toggle bar ,Android-app,To Do,3,5/9/2021,,,,UI,This is the description of my issues. Instructions to use this csv will come here.
324,Switch on ,Android-app,In Progress,2,5/9/2021,,,,UI,This is the description of my issues. Instructions to use this csv will come here.
325,Switch off,Android-app,To Do,1,6/9/2021,,,,UI,This is the description of my issues. Instructions to use this csv will come here.
326,Table header is not aligned,IOS-app,In Progress,3,6/9/2021,,,,backend,This is the description of my issues. Instructions to use this csv will come here.
327,Column names,Android-app,Done,3,6/9/2021,9/9/2021,Done,,backend,This is the description of my issues. Instructions to use this csv will come here.
328,number series ,Android-app,To Do,3,6/9/2021,,,,backend,This is the description of my issues. Instructions to use this csv will come here.
329,Search field ,Android-app,To Do,3,7/9/2021,,,,backend,This is the description of my issues. Instructions to use this csv will come here.
330,Enter Valid search key word,Android-app,To Do,2,7/9/2021,,,,UI,This is the description of my issues. Instructions to use this csv will come here.
331,Enter invalid search keyword ,IOS-app,Done,3,7/9/2021,9/9/2021,Done,,UI,This is the description of my issues. Instructions to use this csv will come here.
332,Search result,Android-app,Done,3,7/10/2021,9/9/2021,Done,,UI,This is the description of my issues. Instructions to use this csv will come here.
333,Advance filter,IOS-app,Done,2,8/10/2021,10/9/2021,Done,,UI,This is the description of my issues. Instructions to use this csv will come here.
334,Reset and then search is not working,Android-app,In Progress,3,8/10/2021,,,,backend,This is the description of my issues. Instructions to use this csv will come here.
335,The drodown field data is not displayed,IOS-app,In Progress,2,8/10/2021,,,,backend,This is the description of my issues. Instructions to use this csv will come here.
336,Search no record found ,IOS-app,Done,3,8/10/2021,10/9/2021,Done,,backend,This is the description of my issues. Instructions to use this csv will come here.
337,Pagination ,Android-app,Done,3,8/10/2021,11/9/2021,Done,,UI,This is the description of my issues. Instructions to use this csv will come here.
338,Pagination count on search is showing incorrectly,IOS-app,In Progress,2,9/10/2021,,,,backend,This is the description of my issues. Instructions to use this csv will come here.
339,Show entries ,Android-app,In Progress,3,9/10/2021,,,,backend,This is the description of my issues. Instructions to use this csv will come here.
340,Show entries shows dropdown,IOS-app,In Progress,2,9/10/2021,,,,UI,This is the description of my issues. Instructions to use this csv will come here.
341,show entries based on paginantion ,Android-app,Done,1,9/10/2021,10/10/2021,Done,,backend,This is the description of my issues. Instructions to use this csv will come here.
342,the list view,Android-app,Done,2,10/10/2021,10/10/2021,Done,,backend,This is the description of my issues. Instructions to use this csv will come here.
343,check box ,IOS-app,Done,1,10/10/2021,10/10/2021,Done,,backend,This is the description of my issues. Instructions to use this csv will come here.
344,Import function,Android-app,Done,2,10/10/2021,10/10/2021,Done,,UI,This is the description of my issues. Instructions to use this csv will come here.
345,Importing one data,IOS-app,In Progress,3,10/10/2021,,,,UI,This is the description of my issues. Instructions to use this csv will come here.
346,Exporting multiple data,IOS-app,To Do,3,10/10/2021,,,,backend,This is the description of my issues. Instructions to use this csv will come here.
347,Verifiying the duplication of data,Android-app,Done,2,11/10/2021,12/10/2021,Done,,UI,This is the description of my issues. Instructions to use this csv will come here.
348,Dashboard cards,IOS-app,To Do,2,11/10/2021,,,,backend,This is the description of my issues. Instructions to use this csv will come here.
349,Count of each defects,Android-app,In Progress,1,11/10/2021,,,,backend,This is the description of my issues. Instructions to use this csv will come here.
350,Count of total ,Android-app,To Do,2,11/10/2021,,,,UI,This is the description of my issues. Instructions to use this csv will come here.
351,Data validation ,IOS-app,Done,3,11/10/2021,12/10/2021,Done,,backend,This is the description of my issues. Instructions to use this csv will come here.
352,Add new value and the toaster message ,Android-app,To Do,3,12/10/2021,,,,backend,This is the description of my issues. Instructions to use this csv will come here.
353,Save updated successfully message on click save,IOS-app,In Progress,2,12/10/2021,,,,backend,This is the description of my issues. Instructions to use this csv will come here.
354,Edit newly added value and update then it is not showing ,IOS-app,In Progress,3,12/10/2021,,,,UI,This is the description of my issues. Instructions to use this csv will come here.
355,"Delete the value, tosater message is not shown",Android-app,To Do,1,12/10/2021,,,,UI,This is the description of my issues. Instructions to use this csv will come here.
356,Home icon is not placed,IOS-app,To Do,1,12/10/2021,,,,UI,This is the description of my issues. Instructions to use this csv will come here.
357,The backtrop color is showing blank,IOS-app,In Progress,2,13/10/2021,,,,backend,This is the description of my issues. Instructions to use this csv will come here.
358,help button is to be provided ,Android-app,In Progress,2,13/10/2021,,,,UI,This is the description of my issues. Instructions to use this csv will come here.
359,Category/Product Pages,IOS-app,To Do,3,13/10/2021,,,,UI,This is the description of my issues. Instructions to use this csv will come here.
360,Money Transfer can be done,IOS-app,Done,3,13/10/2021,14/10/2021,Done,,backend,This is the description of my issues. Instructions to use this csv will come here.
361,Account Statement can be viewed,Android-app,To Do,1,13/10/2021,,,,UI,This is the description of my issues. Instructions to use this csv will come here.
362,Deposit/Recurring Deposit can be created,IOS-app,To Do,1,14/10/2021,,,,UI,This is the description of my issues. Instructions to use this csv will come here.
363,Colors of the fonts.,IOS-app,To Do,2,14/10/2021,,,,backend,This is the description of my issues. Instructions to use this csv will come here.
364,"Colors of the error messages, warning messages.",IOS-app,To Do,3,14/10/2021,,,,UI,This is the description of my issues. Instructions to use this csv will come here.
365,Whether the image has good clarity or not,Android-app,In Progress,3,14/10/2021,,,,backend,This is the description of my issues. Instructions to use this csv will come here.
366,Alignment of the images.,IOS-app,To Do,2,15/10/2021,,,,UI,This is the description of my issues. Instructions to use this csv will come here.
367,User must not get frustrated while using the system interface,Android-app,Done,1,15/10/2021,16/10/2021,Done,,UI,This is the description of my issues. Instructions to use this csv will come here.
368,Whether the interface is attractive or not.,IOS-app,Done,2,15/10/2021,16/10/2021,Done,,backend,This is the description of my issues. Instructions to use this csv will come here.
369,Scrollbars according to the size of the page if any.,IOS-app,To Do,2,15/10/2021,,,,backend,This is the description of my issues. Instructions to use this csv will come here.
370,Disabled fields if any,Android-app,In Progress,1,15/10/2021,,,,backend,This is the description of my issues. Instructions to use this csv will come here.
371,Size of the images,IOS-app,Done,2,16/10/2021,17/10/2021,Done,,UI,This is the description of my issues. Instructions to use this csv will come here.
372,Headings whether it is properly aligned or not,IOS-app,To Do,1,16/10/2021,,,,backend,This is the description of my issues. Instructions to use this csv will come here.
373,Color of the hyperlink,IOS-app,In Progress,1,16/10/2021,,,,backend,This is the description of my issues. Instructions to use this csv will come here.
374,The text box with the label “Source Folder” is aligned properly.,Android-app,To Do,2,16/10/2021,,,,UI,This is the description of my issues. Instructions to use this csv will come here.
375,Text box with the label “Package” is aligned properly,IOS-app,In Progress,1,16/10/2021,,,,backend,This is the description of my issues. Instructions to use this csv will come here.
376,Label with the name “Browse” is a button which is located at the end ,IOS-app,To Do,2,17/10/2021,,,,backend,This is the description of my issues. Instructions to use this csv will come here.
377,Label “Modifiers” consists of 4 radio buttons which are not aligned properly in a row.,IOS-app,Done,2,17/10/2021,18/10/2021,Done,,backend,This is the description of my issues. Instructions to use this csv will come here.
378,Proper error generated if something has been mistakenly chosen,IOS-app,In Progress,2,17/10/2021,,,,UI,This is the description of my issues. Instructions to use this csv will come here.
379,The error must be generated in the RED color wherever it is necessary.,Android-app,In Progress,2,18/10/2021,,,,UI,This is the description of my issues. Instructions to use this csv will come here.
380,That proper labels must be used in the error messages,IOS-app,Done,1,18/10/2021,19/10/2021,Done,,UI,This is the description of my issues. Instructions to use this csv will come here.
381,The single radio buttons must be selected by default every time,Android-app,In Progress,2,18/10/2021,,,,backend,This is the description of my issues. Instructions to use this csv will come here.
382,TAB button must be work properly while jumping on another field next to previous.,IOS-app,Done,1,18/10/2021,19/10/2021,Done,,backend,This is the description of my issues. Instructions to use this csv will come here.
383,All the pages must contain the proper title,Android-app,Done,1,18/10/2021,19/10/2021,Done,,backend,This is the description of my issues. Instructions to use this csv will come here.
384, The page text must be properly aligned,IOS-app,In Progress,2,19/10/2021,,,,UI,This is the description of my issues. Instructions to use this csv will come here.
385,After updating any field a proper confirmation message must be displayed,Android-app,In Progress,2,19/10/2021,,,,UI,This is the description of my issues. Instructions to use this csv will come here.
386,Only 1 radio button must be selected and more than single checkboxes may be selected.,Android-app,To Do,1,19/10/2021,,,,UI,This is the description of my issues. Instructions to use this csv will come here.
387,"Size, position, width, height of the elements.",IOS-app,In Progress,1,20/10/2021,,,,backend,This is the description of my issues. Instructions to use this csv will come here.
388,The error messages that are getting displayed.,Android-app,In Progress,2,20/10/2021,,,,backend,This is the description of my issues. Instructions to use this csv will come here.
389,The font whether it is readable or not.,IOS-app,To Do,1,20/10/2021,,,,UI,This is the description of my issues. Instructions to use this csv will come here.
390,validation not provided in signup form,IOS-app,Done,1,30/10/2021,30/10/2021,Done,,backend,This is the description of my issues. Instructions to use this csv will come here.
391,Fill out all user information fields,Android-app,In Progress,1,30/10/2021,,,,backend,This is the description of my issues. Instructions to use this csv will come here.
392,error on save button,Android-app,To Do,2,30/10/2021,,,,UI,This is the description of my issues. Instructions to use this csv will come here.
393,colum name must be changed in user list,IOS-app,To Do,2,30/10/2021,,,,backend,This is the description of my issues. Instructions to use this csv will come here.
394,Alignment of PDF is nor proper,IOS-app,To Do,1,31/10/2021,,,,UI,This is the description of my issues. Instructions to use this csv will come here.
395,Navigation to user menu not working properly,IOS-app,Done,1,31/10/2021,30/10/2021,Done,,backend,This is the description of my issues. Instructions to use this csv will come here.
396,numeric keys in description not working,IOS-app,To Do,1,31/10/2021,,,,backend,This is the description of my issues. Instructions to use this csv will come here.
397,text box in view page not aligned properly,Android-app,Done,3,31/10/2021,8/11/2021,Done,,UI,This is the description of my issues. Instructions to use this csv will come here.
398,Dropdown  design to be changes,Android-app,Done,3,31/10/2021,8/11/2021,Done,,UI,This is the description of my issues. Instructions to use this csv will come here.
399,link to user manual  not working,Android-app,Done,3,31/10/2021,12/11/2021,Done,,backend,This is the description of my issues. Instructions to use this csv will come here.
400,The Risk at the same page ,Android-app,Done,3,31/10/2021,13/11/2021,Done,,backend,This is the description of my issues. Instructions to use this csv will come here.
401,"When the user end date is lesser than todays date , User is able to login to an application.",Android-app,Done,3,1/11/2021,30/10/2021,Done,########,UI,This is the description of my issues. Instructions to use this csv will come here.
402,Wrong dates being displayed in order list,IOS-app,To Do,3,1/11/2021,,,########,backend,This is the description of my issues. Instructions to use this csv will come here.
403,Dropdownin order page shows wrong values,IOS-app,To Do,3,1/11/2021,,,########,backend,This is the description of my issues. Instructions to use this csv will come here.
404,description box should be changed to text area,IOS-app,To Do,3,1/11/2021,,,########,UI,This is the description of my issues. Instructions to use this csv will come here.
405,in View screen all the fields must be read only,IOS-app,In Progress,3,1/11/2021,,,########,backend,This is the description of my issues. Instructions to use this csv will come here.
406,Description is editable in view screen,IOS-app,To Do,3,2/11/2021,,,########,backend,This is the description of my issues. Instructions to use this csv will come here.
407,Table header should be consistent in edit and view scree ,Android-app,Done,1,2/11/2021,4/11/2021,Done,########,UI,This is the description of my issues. Instructions to use this csv will come here.
408,Created new user  the screen loads continuously.,Android-app,Done,2,2/11/2021,4/11/2021,Done,########,backend,This is the description of my issues. Instructions to use this csv will come here.
409,Back button is not redirected properly,Android-app,To Do,2,2/11/2021,,,########,backend,This is the description of my issues. Instructions to use this csv will come here.
410,Scrollbar design should be changes,IOS-app,To Do,2,2/11/2021,,,########,UI,This is the description of my issues. Instructions to use this csv will come here.
411,Color of the text label should consistent in all the pages,Android-app,To Do,1,4/11/2021,,,########,backend,This is the description of my issues. Instructions to use this csv will come here.
412, User View screen loads continuously.,Android-app,To Do,1,4/11/2021,,,########,UI,This is the description of my issues. Instructions to use this csv will come here.
413,notification message not shown,IOS-app,In Progress,1,4/11/2021,,,########,UI,This is the description of my issues. Instructions to use this csv will come here.
414,"The toaster message for Insert, update and delete order should show error message",Android-app,To Do,1,4/11/2021,,,########,backend,This is the description of my issues. Instructions to use this csv will come here.
415,duplicate order can be inserted,Android-app,To Do,2,4/11/2021,,,########,backend,This is the description of my issues. Instructions to use this csv will come here.
416,Header field not consistent,Android-app,Done,3,7/11/2021,6/11/2021,Done,########,backend,This is the description of my issues. Instructions to use this csv will come here.
417,loader is not shown in approve list,IOS-app,Done,1,7/11/2021,7/11/2021,Done,########,backend,This is the description of my issues. Instructions to use this csv will come here.
418,The user dropdown showing wrong record ,Android-app,In Progress,1,7/11/2021,,,########,UI,This is the description of my issues. Instructions to use this csv will come here.
